pclass,sex,age,sibsp,parch,fare,body
3,0,38.0,0,0,7.8958,160.8099173553719
2,1,21.0,0,1,21.0,160.8099173553719
2,0,42.0,1,0,27.0,160.8099173553719
3,0,29.881137667304014,0,0,14.5,160.8099173553719
2,0,25.0,0,0,31.5,160.8099173553719
3,1,4.0,1,1,16.7,160.8099173553719
1,0,48.0,0,0,26.55,160.8099173553719
1,0,52.0,0,0,30.5,160.8099173553719
2,0,57.0,0,0,13.0,160.8099173553719
3,0,29.881137667304014,0,0,8.1125,160.8099173553719
2,0,29.881137667304014,0,0,15.05,160.8099173553719
3,0,39.0,0,2,7.2292,160.8099173553719
2,0,0.67,1,1,14.5,160.8099173553719
3,1,18.0,0,0,9.8417,160.8099173553719
1,1,21.0,2,2,262.375,160.8099173553719
2,0,24.0,0,0,10.5,108.0
2,1,45.0,1,1,26.25,160.8099173553719
1,0,40.0,0,0,31.0,160.8099173553719
1,1,55.0,0,0,27.7208,160.8099173553719
3,0,33.0,0,0,8.05,160.8099173553719
3,0,22.0,0,0,7.25,160.8099173553719
3,0,13.0,4,2,31.3875,160.8099173553719
3,0,28.0,0,0,7.8542,160.8099173553719
1,1,14.0,1,2,120.0,160.8099173553719
3,0,6.0,1,1,15.2458,160.8099173553719
2,1,42.0,0,0,13.0,160.8099173553719
2,0,19.0,0,0,10.5,160.8099173553719
3,0,35.0,0,0,7.8958,160.8099173553719
3,0,29.881137667304014,0,0,15.5,160.8099173553719
3,1,14.0,0,0,7.8542,160.8099173553719
3,1,4.0,0,1,13.4167,160.8099173553719
1,1,16.0,0,1,57.9792,160.8099173553719
2,1,24.0,0,0,13.0,160.8099173553719
1,0,45.5,0,0,28.5,166.0
1,1,51.0,1,0,77.9583,160.8099173553719
3,0,29.881137667304014,0,0,7.575,160.8099173553719
3,0,33.0,0,0,7.8958,160.8099173553719
1,0,28.0,0,0,47.1,160.8099173553719
3,0,29.881137667304014,0,0,7.225,160.8099173553719
3,0,24.0,0,0,8.05,160.8099173553719
3,0,29.881137667304014,0,0,7.25,160.8099173553719
2,0,54.0,0,0,26.0,160.8099173553719
1,0,58.0,0,2,113.275,122.0
2,0,3.0,1,1,18.75,160.8099173553719
3,1,25.0,1,0,7.925,160.8099173553719
3,0,2.0,4,1,39.6875,160.8099173553719
3,0,34.5,0,0,6.4375,196.0
1,1,45.0,0,1,63.3583,160.8099173553719
3,0,0.42,0,1,8.5167,160.8099173553719
3,0,29.881137667304014,0,0,8.7125,160.8099173553719
2,1,17.0,0,0,10.5,160.8099173553719
3,0,29.881137667304014,0,0,7.8875,160.8099173553719
3,0,24.0,0,0,7.8958,160.8099173553719
3,1,29.0,0,4,21.075,206.0
3,0,26.0,0,0,8.05,103.0
3,0,29.881137667304014,0,0,8.05,160.8099173553719
1,1,18.0,1,0,53.1,160.8099173553719
3,1,40.0,1,0,9.475,160.8099173553719
3,1,22.0,0,0,7.75,160.8099173553719
2,1,17.0,0,0,12.0,160.8099173553719
3,0,20.0,0,0,9.5,160.8099173553719
1,0,45.0,0,0,26.55,160.8099173553719
3,1,9.0,3,2,27.9,160.8099173553719
3,0,7.0,1,1,15.2458,160.8099173553719
3,1,2.0,3,2,27.9,160.8099173553719
2,1,18.0,1,1,13.0,160.8099173553719
2,0,24.0,0,0,13.0,155.0
3,0,29.881137667304014,0,0,7.225,160.8099173553719
3,0,21.0,0,0,7.925,160.8099173553719
3,1,18.0,0,0,7.8792,160.8099173553719
2,1,29.0,0,2,23.0,160.8099173553719
3,0,35.0,0,0,7.05,160.8099173553719
1,0,29.881137667304014,0,0,30.0,160.8099173553719
3,0,51.0,0,0,7.75,160.8099173553719
3,1,29.881137667304014,0,0,7.75,160.8099173553719
1,1,32.0,0,0,76.2917,160.8099173553719
2,0,18.0,0,0,10.5,160.8099173553719
1,1,56.0,0,1,83.1583,160.8099173553719
3,1,29.881137667304014,1,0,15.5,160.8099173553719
3,0,29.881137667304014,0,0,7.75,160.8099173553719
1,0,24.0,1,0,60.0,160.8099173553719
3,1,5.0,0,0,12.475,160.8099173553719
2,0,31.0,0,0,10.5,165.0
1,0,42.0,0,0,26.2875,160.8099173553719
3,1,29.881137667304014,2,0,23.25,160.8099173553719
1,1,29.881137667304014,0,0,110.8833,160.8099173553719
2,0,32.0,2,0,73.5,256.0
3,0,47.0,0,0,7.25,160.8099173553719
2,0,29.881137667304014,0,0,0.0,160.8099173553719
3,0,29.881137667304014,0,0,56.4958,160.8099173553719
3,0,29.881137667304014,0,0,7.225,160.8099173553719
3,0,29.881137667304014,0,0,7.225,160.8099173553719
3,0,42.0,0,0,8.6625,160.8099173553719
3,0,18.0,1,0,14.4542,160.8099173553719
3,0,29.881137667304014,1,9,69.55,160.8099173553719
1,0,46.0,0,0,79.2,160.8099173553719
3,0,14.0,0,0,9.225,160.8099173553719
3,1,29.881137667304014,1,0,24.15,160.8099173553719
2,0,21.0,1,0,11.5,160.8099173553719
1,1,38.0,1,0,71.2833,160.8099173553719
2,0,14.0,0,0,65.0,160.8099173553719
3,0,18.0,1,1,7.8542,160.8099173553719
3,1,33.0,3,0,15.85,160.8099173553719
3,1,30.0,1,0,15.55,160.8099173553719
3,0,30.0,0,0,9.5,160.8099173553719
2,0,40.0,1,0,26.0,286.0
1,0,0.92,1,2,151.55,160.8099173553719
3,0,29.881137667304014,0,0,8.4583,160.8099173553719
3,0,35.0,0,0,8.05,160.8099173553719
1,0,47.0,0,0,42.4,160.8099173553719
1,0,29.881137667304014,0,0,50.0,160.8099173553719
1,0,31.0,0,0,28.5375,160.8099173553719
2,0,18.0,0,0,73.5,160.8099173553719
1,0,49.0,0,0,26.0,160.8099173553719
3,1,22.0,0,0,10.5167,160.8099173553719
2,0,47.0,0,0,15.0,160.8099173553719
2,0,17.0,0,0,73.5,160.8099173553719
1,0,57.0,1,0,146.5208,160.8099173553719
2,0,35.0,0,0,26.0,322.0
2,1,24.0,1,2,65.0,160.8099173553719
1,0,48.0,0,0,50.4958,208.0
3,0,13.0,0,2,20.25,160.8099173553719
1,0,29.881137667304014,0,0,27.7208,160.8099173553719
1,0,21.0,0,1,61.3792,160.8099173553719
3,0,40.5,0,0,15.1,187.0
3,0,29.881137667304014,0,0,7.75,160.8099173553719
3,0,29.881137667304014,0,0,7.8958,160.8099173553719
3,0,27.0,0,0,6.975,160.8099173553719
3,1,36.0,1,0,17.4,160.8099173553719
